#p	ResponseTime	sigma(ResponseTime)
0.1	1.04575085297082	0.038201167197790015
0.2	0.548261536675914	0.00907714356454857
0.3	0.37250221704962005	0.004761450813930576
0.4	0.28905233527400603	0.004002226357832601
0.5	0.253535449659176	0.0015094035766935452
0.6	0.255514632809034	0.002409707530715637
0.7	0.304238497289182	0.006480058176789584
0.8	0.44763650723943194	0.01623659730232041
0.9	0.91176292459756	0.03508400519567796
